GeneName	tSNE_1	tSNE_2	x	CCL5_Opacity	CCL5_Expr	CCL5_Color
TTS26-0205	39.6584073588394	-16.8393430447809	4	0.1	0.0	#ffffff
PTC152-0322	-36.2491039580083	-7.2843104181799	0	0.6332588294756707	6074.0212471179	#ff6868
NTH121-0322	-16.5772974175732	23.8845067190594	0	0.1251052528836048	285.958395811692	#fff8f8
NTC136-1116	27.4927963464528	-39.2385354247433	9	0.3847647783858398	3243.57932534772	#ffafaf
NTR82-0407	-12.5439256686093	2.58236840624729	0	0.6569027460569232	6343.33446565536	#ff6262
PTC40-0205	-17.7578242244813	-21.6021134527347	2	0.5309249494048682	4908.39936241092	#ff8585
TTR236-0407	-3.12448025469793	25.1490848333277	1	0.10017456894155323	1.98840675760355	#ffffff
TTS1-28-0508	37.9413156009497	-5.40005231678955	4	0.1	0.0	#ffffff
TTC14-0322	-29.8541758505374	-3.88579344806602	0	0.961116564812262	9808.44577117966	#ff0c0c
TTC106-1116	-30.2960137665339	-6.85236776818647	0	0.993256834157104	10174.5356849287	#ff0202
TTC105-0407	3.43905878519312	-11.6897766059674	5	0.4989143466862821	4543.78640093981	#ff8e8e
TTH86-1116	-4.34142188578947	26.6726967441636	0	0.10031745795943288	3.61596711405215	#ffffff
JTC-9-0508	-9.11359562224945	-25.1081358917353	7	0.5846581605872371	5520.4411109151	#ff7676
PTH15-0407	-8.45088636628343	41.9511548932823	1	0.10074806750584157	8.52077391616347	#ffffff
PTR92-0407	-10.7614513856508	25.1637845780005	0	0.2030775525473681	1174.09259756512	#ffe2e2
TTS109-0205	40.4899481035607	-15.9564383561046	4	0.1	0.0	#ffffff
PTC123-0205	-13.7762348345381	-17.844287195093	2	0.9158891785917357	9293.28860983421	#ff1818
TTR58-0322	25.1514287829206	-15.1046012372477	8	0.1	0.0	#ffffff
TTH141-0322	-7.58367057550223	-5.95889022889765	6	0.48591065679142176	4395.66941844188	#ff9292
TTH56-0322	-31.472456640267	17.4099172039449	0	0.11386977226481915	157.981990681772	#fffcfc
JTH-49-0508	12.073234045635	12.3574328063131	3	0.16562146138695702	747.453447931121	#ffeded
PTR18-1116	6.83464122985613	29.9249893988091	1	0.10073789699985325	8.40492797784536	#ffffff
JTC-52-0508	0.654785731522388	-17.7993768040651	7	0.1933556713703095	1063.35666677993	#ffe5e5
PTS135-0205	35.0132823668466	22.2142395466615	3	0.1	0.0	#ffffff
TTH1-39-0508	-23.058314920916	-23.4682253209991	2	0.5095934437575984	4665.42538547381	#ff8b8b
PTH16-1116	-37.3519189407797	-10.3194019415587	2	0.6762314664053268	6563.49595494798	#ff5c5c
TTH156-0508	28.9880843935798	-7.2136704898896	4	0.1	0.0	#ffffff
JTS-64-0508	-0.385616083672422	-0.309020603736291	6	0.1600466088274986	683.953753178772	#ffeeee
NTC156-0322	-38.9971364884461	11.2656200867	5	0.17946865911058305	905.178305987474	#ffe9e9
PTC97-0205	-13.4189231329909	-16.6844440656548	2	0.8887579523734369	8984.25360581497	#ff2020
PTC132-1116	-40.1557646265756	-27.3854666842556	2	0.6602748072631611	6381.7435275989	#ff6161
TTR38-1116	31.9646408333828	-37.5433599870256	9	0.14929348527522482	561.471578821498	#fff2f2
NTC95-0407	-40.4098615448284	7.97350239697321	5	0.24551902066098683	1657.51709019747	#ffd6d6
TTC2-51-0508	2.16899969991061	-17.5470279795605	7	0.5513972913251693	5141.58713714395	#ff8080
TTC29-0508	-3.13587246408841	-41.2443544499897	7	0.7524147883100228	7431.25301839902	#ff4747
PTH36-0322	4.04654030741399	33.1029034335953	0	0.1	0.0	#ffffff
PTC189-1116	-40.4468031349693	-16.806642004505	2	0.19637558598092383	1097.75464482633	#ffe4e4
PTC9-0508	36.4306084615003	17.6973789397372	3	0.1	0.0	#ffffff
TTR164-0407	-11.7676780644033	1.96699224194022	0	0.8025385299237894	8002.18153325628	#ff3838
TTC22-0508	-3.31509642116664	-39.9306274489482	7	1.0	10777.1528120919	#ff0000
NTH171-0322	-11.9559900623643	23.052036096623	0	0.10580295789051333	66.0979013845218	#fffefe
TTS1-78-0508	32.6081348861267	-0.178623306042196	4	0.11997891507523975	227.567454964957	#fffafa
PTR42-0407	-20.0847276016944	21.1375919023873	0	0.2913006203381129	2178.986953977	#ffc9c9
PTS1-2-0508	17.4823561521526	27.3119101131636	3	0.1	0.0	#ffffff
TTH77-0205	11.142777625517	2.80281708080254	6	0.33819741007857285	2713.15925748158	#ffbcbc
TTR139-0407	-15.6300602002205	6.51068533037086	0	0.40291967651982097	3450.37053237469	#ffaaaa
TTH85-0407	-30.1137925303072	-3.66815528444834	0	1.0	11687.5473491944	#ff0000
TTR185-0322	30.2450755636411	-22.7799773733668	8	0.1	0.0	#ffffff
TTC10-0205	-0.914848492524664	-40.8832575560981	7	0.3692918429294926	3067.33669508589	#ffb3b3
TTC64-0322	6.81658395203551	-32.168814767106	11	0.4511297775099371	3999.50195140359	#ff9c9c
NTH178-0322	-37.2434862549107	-6.78026422548511	2	0.49378546272378343	4485.36645842737	#ff9090
TTR143-0508	35.829508339178	-9.17530058371183	4	0.10052641968686447	5.9961208069632	#ffffff
NTR32-0407	-20.7372596356098	20.3965903652535	0	0.2912138487174424	2177.99859215631	#ffc9c9
PTH65-0407	0.451000078790337	43.8022053146715	1	0.1001772259278166	2.01867084349374	#ffffff
TTH120-0407	-27.3587850957311	2.86181762647417	0	0.3479127372041828	2823.82053512358	#ffb9b9
PTH57-0205	29.5051476823361	28.7857295293634	3	0.1	0.0	#ffffff
PTH5-0407	0.202728483781103	39.9573228118496	1	0.10044613927121052	5.08169628465562	#ffffff
TTH191-0322	-34.7867571691713	-24.1798216327258	2	0.29830889211577816	2258.81383977835	#ffc7c7
NTH34-0508	1.88499306493276	-3.5402718268507	6	0.2334769874607749	1520.35374385681	#ffdada
NTC49-0508	0.759384978828406	-17.9914885632423	5	0.7345011057248229	7227.20934837931	#ff4c4c
JTC-2-0508	-2.94065583218995	-26.4642415805567	7	1.0	11129.5822637763	#ff0000
TTR103-0322	19.8074985098404	-16.8349261685047	8	0.11906408169725864	217.147154224895	#fffafa
TTC122-0205	2.14062303261081	-29.3780944930668	7	0.9954063010847999	10199.0189322134	#ff0202
PTC159-0322	-41.2746575101837	-5.75723351080487	0	0.5898227993002441	5579.26831365891	#ff7575
TTH1-89-0508	25.7093170009007	14.9725937156106	3	0.1	0.0	#ffffff
NTH100-0407	-7.3060665361488	27.50994096856	0	0.24196803865919517	1617.07005222114	#ffd7d7
TTR118-0508	25.695859011989	-10.480802670978	4	0.1	0.0	#ffffff
TTR114-0407	18.1136054767261	-18.1512178959753	8	0.1005962399345264	6.79140003036513	#ffffff
TTC176-0322	-16.6645293695449	4.54455541740545	5	0.7291998685873157	7166.82623753445	#ff4d4d
PTR6-1116	-9.09755875706566	39.0672605007217	1	0.10041839893536067	4.7657232898534	#ffffff
PTC182-1116	-40.728354824725	-23.4684444069155	2	0.555489620784899	5188.20032892747	#ff7e7e
NTH157-0407	-28.4968072652953	2.56879220304722	0	0.2219302036265331	1388.83147649178	#ffdddd
TTC79-0508	-3.74897444109527	-38.2684481801375	7	0.7560475997648036	7472.63212502311	#ff4646
NTC45-0407	-13.2239705483194	1.4921301768249	5	0.793162829435651	7895.38873241778	#ff3b3b
PTC47-0205	6.06218235432883	39.9738351249007	1	0.1	0.0	#ffffff
PTH3-6-0508	36.2605776711339	23.4929661378152	3	0.10021469157322836	2.44541881969108	#ffffff
TTH1-32-0508	21.2561923557228	-4.07920704362339	4	0.1	0.0	#ffffff
NTC106-0322	-37.7735037585262	-23.4256682596953	2	0.592242835587702	5606.83344904217	#ff7474
PTC102-0322	2.1139546136393	33.934859576898	1	0.1	0.0	#ffffff
NTC186-1116	-22.1487083343301	-14.3989835290279	0	0.7262973623176969	7133.76558522628	#ff4e4e
PTH9-0508	14.1724414997562	16.3410878765486	3	0.12387060130767469	271.895243941594	#fff9f9
TTH52-0205	9.36426506414396	-3.78605883420497	6	0.27363369675114674	1977.75396296595	#ffcece
JTH-42-0508	-17.5968164322958	-24.2398392143356	2	0.33987474729870903	2732.26476750887	#ffbcbc
TTR51-0322	23.8014031147931	-25.8344158432964	8	0.1435088901318607	495.58283612348	#fff3f3
TTR135-0322	27.795669831833	-28.107678192718	8	0.1	0.0	#ffffff
TTC67-0205	-1.26328734115214	-32.6463763583897	7	0.49681962341187325	4519.92670472418	#ff8f8f
PTR67-0407	-1.491515746511	42.5349300365563	1	0.1	0.0	#ffffff
TTC72-0508	-25.3813118514471	-27.9277174885416	2	0.9427665680885043	9599.43231687973	#ff1111
PTH32-0205	-12.5166435980782	-5.6561844070669	2	0.3575224616703653	2933.27895823855	#ffb7b7
PTR11-1116	-10.5123224944944	40.1230640329534	1	0.10016792974051839	1.91278372818425	#ffffff
PTC127-0322	-36.5117759702297	7.42768066747491	5	0.6246173016847101	5975.59095303076	#ff6b6b
PTH124-0322	-33.6287852474566	-1.84058623611255	2	0.4887808762564446	4428.36231174396	#ff9191
NTH182-0407	8.16768262033392	4.56387073121478	5	0.1	0.0	#ffffff
PTR31-0322	-0.806914521335418	17.2671353647356	1	0.1	0.0	#ffffff
JTC-77-0508	-6.47373296329552	-22.7640217348328	7	0.49708187589671593	4522.91386044856	#ff8f8f
PTH3-14-0508	28.2184957652009	21.3768956610768	3	0.1	0.0	#ffffff
NTC181-0322	1.21827437897225	-9.41242657405471	5	0.44002830120959047	3873.05190651829	#ff9f9f
TTS1-53-0508	29.5727036660367	1.87998018081365	4	0.1	0.0	#ffffff
NTC24-0508	4.08734128076138	-10.5467528642869	5	0.4795136415199238	4322.80497714342	#ff9494
TTR33-0322	21.0399023766031	-30.707776547098	8	0.1	0.0	#ffffff
PTC23-0407	-40.9027967823383	-10.2320764475808	0	0.5494662073239721	5119.59135459915	#ff8080
TTH181-0508	28.2617972561721	-6.10280388726062	4	0.10294553051202694	33.5507148220636	#ffffff
TTR168-0508	26.8563635990587	1.20623426027293	4	0.1	0.0	#ffffff
NTR58-1116	15.81019670985	-17.7645069802939	8	0.10025810105436479	2.93986934948027	#ffffff
NTH128-0322	-23.5829274098878	21.9063350479944	0	0.14837210633042452	550.976721581409	#fff2f2
JTH-24-0508	5.05474435331054	-1.0628869362578	6	0.3985433961360705	3400.52303137713	#ffabab
TTR13-1116	16.0318195372535	-30.8873502324786	0	0.1396000618457926	451.059792624589	#fff4f4
PTH19-0508	33.3646172018395	24.7878194021297	3	0.1	0.0	#ffffff
NTR89-0407	-32.2402679825676	9.32671442794242	0	0.5046488958041043	4609.10510033864	#ff8d8d
TTC43-0407	-45.2420251509894	6.79512121961274	0	0.6717874321604127	6512.87671165656	#ff5d5d
NTC110-0407	-35.0852541310878	-12.6060283562779	0	0.3529437983978396	2881.12623902701	#ffb8b8
TTR211-0407	-29.1400816051963	13.5635472292581	0	0.5276281410366725	4870.84745896511	#ff8686
PTH91-1116	3.33908886088401	45.548849864045	1	0.10113741861256269	12.9556313701662	#ffffff
PTC2-77-0508	33.734720780665	18.2915912181918	3	0.1	0.0	#ffffff
TTH152-0407	-19.8311687293417	9.83845718020999	0	0.4525950569916466	4016.19204299311	#ff9c9c
PTH149-0322	0.762473806762766	37.0809909727602	1	0.1	0.0	#ffffff
PTS3-53-0508	26.9080733369461	20.7375855875873	3	0.1	0.0	#ffffff
PTC2-52-0508	36.6955814091624	17.6781287834594	3	0.1	0.0	#ffffff
TTR161-0508	25.4824904252165	-10.464095401796	4	0.1	0.0	#ffffff
PTC26-0322	19.8294691101152	0.525891713447973	0	0.1	0.0	#ffffff
TTS1-1-0508	39.9958937624301	-16.3888315750804	4	0.1	0.0	#ffffff
NTC63-0407	-31.1481526542157	1.35043836979869	0	0.39184421906862876	3324.21685209482	#ffadad
TTR132-0407	-21.0172171326627	11.5421214759384	0	0.25659401002602333	1783.66543879768	#ffd3d3
NTC2-24-0508	-3.80760144985105	-29.0410500350163	7	1.0	13699.2149520766	#ff0000
TTH1-14-0508	13.8064605555595	12.1559476147225	3	0.26131623787904695	1837.45341328129	#ffd2d2
PTR38-0322	7.34613511689395	29.7773120185923	1	0.1	0.0	#ffffff
PTC65-0205	-7.14765689883276	-11.8275057275703	2	0.6702504409851644	6495.36979655443	#ff5e5e
PTR1-0322	-1.29386522405538	22.7273368824934	1	0.1	0.0	#ffffff
NTH2-40-0508	13.4976953464752	-2.22310406795463	4	0.1	0.0	#ffffff
PTC2-59-0508	-26.8131372145052	-32.3297423667118	2	1.0	13165.045940305	#ff0000
JTS-14-0508	32.0327576844069	0.295237131068138	4	0.1	0.0	#ffffff
PTR49-0407	-20.0443629227986	28.774117906327	0	0.6620407767425358	6401.8585928291	#ff6060
NTH56-1116	-37.9784636681746	-9.00451430182387	2	0.4813937535438715	4344.22016944628	#ff9393
PTR93-1116	6.16034063649792	31.0563318463787	1	0.10026685304099402	3.03955781182168	#ffffff
TTC85-0205	-19.5821973582266	-31.4249896894994	2	0.3210069773568369	2517.35367897547	#ffc1c1
PTR13-0322	-1.49649563771851	44.3849731662724	1	0.1	0.0	#ffffff
JTC-59-0508	-27.6353592441631	-30.758714266819	2	0.4571363891198922	4067.91954624759	#ff9a9a
TTC2-58-0508	-2.49559415397398	-45.1433275560386	7	0.13733559930778094	425.266701523389	#fff5f5
TTR115-1116	23.531173834161	-25.9165760549648	8	0.10028870630105322	3.28847477030663	#ffffff
TTC131-1116	-30.2644700141671	11.4927280927833	0	0.6852668769643366	6666.41272383828	#ff5a5a
TTH106-0508	7.61545107788398	3.60797570517611	6	0.1	0.0	#ffffff
PTR9-0508	15.2042752361073	20.0896547759849	3	0.10062096729242023	7.07305405825973	#ffffff
TTR31-1116	25.278753878458	-15.2111466085375	8	0.10031906025527595	3.63421787420289	#ffffff
PTC35-1202	43.0631949524504	12.9250500533245	10	0.10014115462817023	1.6078049968305	#ffffff
PTH3-96-0508	25.920017212859	17.9142890624004	3	0.1	0.0	#ffffff
JTS-39-0508	16.1491362227005	2.50831568247031	6	0.28815676091601217	2143.17719730299	#ffcaca
PTC139-1116	-37.2323070632551	-8.78413795705314	0	0.4253382107254988	3705.7261787658	#ffa3a3
NTH16-0508	1.31995550667548	-5.3761989147065	6	0.2145524173682098	1304.79567996533	#ffdfdf
JTS-82-0508	18.364727073492	25.2020690805865	3	0.1	0.0	#ffffff
TTR160-0322	14.7438062760126	-21.5291005257692	8	0.1	0.0	#ffffff
TTH188-0508	23.4212515370892	-3.83731094237138	4	0.25893008764673464	1810.27425297722	#ffd2d2
TTC48-1202	52.6406047961502	8.96429586314498	10	0.4951868572015383	4501.32887548073	#ff9090
TTC124-1116	-31.8332720525843	13.3228644256771	5	0.5258214636659021	4850.26871534161	#ff8787
JTS-96-0508	28.4260910678646	0.854798396429982	4	0.1	0.0	#ffffff
PTH34-1116	8.84734095964809	42.7348453700382	1	0.1007622470590142	8.68228442941625	#ffffff
NTH38-1116	-16.7318331501278	20.5928376496166	0	0.1004388041547148	4.99814651298312	#ffffff
PTC80-0407	-26.2026082117711	-0.507339118181803	0	0.5228875939044088	4816.85082091104	#ff8888
NTC70-0407	-32.4118119755319	-5.89905588750484	0	0.5866289420136689	5542.88906225862	#ff7676
TTS46-1202	48.0007590855326	9.64841918341155	10	0.1002102386495113	2.39469832192481	#ffffff
PTC150-1116	-39.0860493925993	-27.3453183070278	2	0.7743686012285004	7681.31531226333	#ff4040
